x,rho,beta,p.val.rob,p.val,n,ns,feature.set,feature,q.val,q.val.rob,y
CN_CFTR,-0.04182937975347531,-0.05451066253886313,0.05298549376377964,0.16089911792669492,1125,10,CN,CFTR,0.44877398262710666,0.1778626723059864,CTNNB1
CN_WNT16,-0.054616498532067355,-0.08093232400912943,0.0229169772295453,0.06706719317334683,1125,15,CN,WNT16,0.25010254084170913,0.0997562538227266,CTNNB1
CN_ST7,-0.05435934825579657,-0.06853420600929072,0.033266274548641325,0.0683657006673639,1125,10,CN,ST7,0.2545439924218832,0.1253598063683757,CTNNB1
CN_CYP24A1,-0.04087340585688787,-0.05951971866636243,0.1911836675245199,0.17069184134329562,1125,6,CN,CYP24A1,0.46925016911745754,0.4238978695674748,CTNNB1
CN_ZFP64,-0.06090011990610926,-0.10252621259260293,0.083553265944219,0.04112404739169376,1125,8,CN,ZFP64,0.17890061047590697,0.25496666721122496,CTNNB1
CN_BRD9,0.07330096872741917,0.10328189410194655,0.002930498018930448,0.013926067534067717,1125,26,CN,BRD9,0.07382189143745645,0.018261629760071844,CTNNB1
CN_ARNTL2,-0.04827305629738095,-0.07223906175087295,0.18783619779217395,0.10560419669837125,1125,4,CN,ARNTL2,0.3402322963016913,0.42313993989571563,CTNNB1
CN_NSUN2,0.08769160584853283,0.13298029177195234,6.330455990785045e-4,0.0032434734969636024,1125,33,CN,NSUN2,0.02954055861849927,0.0062252929587026445,CTNNB1
CN_TRIO,0.10149458183299472,0.14748726926844308,6.876687732955587e-5,6.514071712202536e-4,1125,39,CN,TRIO,0.020187713525055825,0.003645984899845147,CTNNB1
CN_DNAH5,0.09787844870480523,0.14109497780832378,1.0645469337700958e-4,0.0010119287001929531,1125,38,CN,DNAH5,0.020187713525055825,0.003645984899845147,CTNNB1
CN_RAI14,0.091855759743547,0.14440090150416982,4.1749768080134e-4,0.0020421510481033545,1125,33,CN,RAI14,0.024442339594176736,0.004955125777614328,CTNNB1
CN_CDH10,0.09655811713467302,0.14331184490604307,1.483779026978564e-4,0.0011842910643797462,1125,37,CN,CDH10,0.02043183877632011,0.003645984899845147,CTNNB1
CN_RAB27B,0.09554918208705752,0.16579923070313068,2.440930714138916e-4,0.001333839607378977,1125,28,CN,RAB27B,0.020993994205686577,0.00402327365137471,CTNNB1
CN_TRIT1,0.06599457648210677,0.08552576539240561,0.008196285060299187,0.026864709325944477,1125,16,CN,TRIT1,0.12692139623878387,0.04556057047602929,CTNNB1
CN_RRM2B,0.039954345919127165,0.06276791244574681,0.06187886798653351,0.1805203948630651,1125,14,CN,RRM2B,0.485203531578503,0.20070367611672793,CTNNB1
CN_MRPS10,-0.0418396490608184,-0.06312640660379537,0.4398398921048823,0.1607962732621196,1125,3,CN,MRPS10,0.44877398262710666,0.5949291724277033,CTNNB1
CN_GUCA1A,-0.04057277785806067,-0.06021195288992137,0.4464684646490178,0.17386173923907017,1125,3,CN,GUCA1A,0.4739331651305734,0.5969284684889925,CTNNB1
CN_COL9A2,0.07564053035371109,0.12192886316872117,0.0010935389276413145,0.011152731023731507,1125,23,CN,COL9A2,0.06353946902019933,0.008718855827119976,CTNNB1
CN_CLPTM1L,0.0754216826000684,0.10333258739257065,0.0017452232442782053,0.011389592301691696,1125,28,CN,CLPTM1L,0.06436886532316453,0.012410476403756126,CTNNB1
CN_NEDD4L,0.09447421655826134,0.164215042985115,5.095656643739731e-4,0.0015121766690495014,1125,29,CN,NEDD4L,0.021834355806763534,0.005535098592832882,CTNNB1
CN_ATP9A,-0.05131629715240068,-0.08341023606297399,0.13114873475529373,0.08535592677856517,1125,6,CN,ATP9A,0.2999204694429149,0.35778825334163084,CTNNB1
CN_ZFR,0.09849247509831938,0.15041829676020754,1.1975224935657132e-4,9.39945745368416e-4,1125,39,CN,ZFR,0.020187713525055825,0.003645984899845147,CTNNB1
CN_SERPINB3,0.09058960563699833,0.1485142689724255,4.1856549744055866e-4,0.002355237247171225,1125,27,CN,SERPINB3,0.025857406802121494,0.004955125777614328,CTNNB1
CN_BCAT1,-0.09879549456660698,-0.10398271171642734,0.0221422749632947,9.061959091267905e-4,1125,10,CN,BCAT1,0.020187713525055825,0.09709797613533676,CTNNB1
CN_AHRR,0.07619512522236523,0.1045587539793911,0.002313479403939863,0.010571942722212568,1125,27,CN,AHRR,0.0614280154002695,0.01521755341258221,CTNNB1
CN_INTS13,-0.051940599822467744,-0.07687322777137151,0.15546649486072253,0.08161708350140673,1125,4,CN,INTS13,0.2906339492810961,0.390077385780076,CTNNB1
CN_TM7SF3,-0.058927040695653986,-0.08931377318015604,0.11460804104732435,0.04815556417116383,1125,6,CN,TM7SF3,0.20005679992511569,0.3246313889952919,CTNNB1
CN_BCAS1,-0.0399358948717557,-0.05740347653223756,0.1964120279177157,0.18072192350179037,1125,5,CN,BCAS1,0.485203531578503,0.42906243737006533,CTNNB1
CN_SLC9A3,0.07376734382561938,0.10332288357704399,0.002735231832191331,0.013329073054506453,1125,28,CN,SLC9A3,0.07166231229826982,0.017180448219175255,CTNNB1
CN_FGFR2,-0.13899168059811817,-0.1467352726637743,0.1559388229342815,2.876163145550751e-6,1125,22,CN,FGFR2,0.0013621508657328358,0.390077385780076,CTNNB1
CN_STAG3,-0.048198101165460736,-0.07707126381233517,0.14670999827256997,0.10614721174775263,1125,7,CN,STAG3,0.34151711605798674,0.379564769469798,CTNNB1
CN_FECH,0.08810948158714658,0.153937828892276,0.0010042491509670108,0.0030989287189106375,1125,25,CN,FECH,0.028777502770119177,0.008172034328143923,CTNNB1
CN_ZFY,0.0657248944714483,0.07277233843652263,0.03109365151192853,0.053044240005619255,867,17,CN,ZFY,0.2139842595115952,0.12150126531393855,CTNNB1
CN_FGF10,0.08976806775948272,0.13330059931108135,3.469571867296356e-4,0.0025812423766393205,1125,33,CN,FGF10,0.02704593782248633,0.004569802710899898,CTNNB1
CN_POLB,-0.04532813263121022,-0.07046808169436714,0.1786354941292593,0.1286511141469022,1125,5,CN,POLB,0.38808387044568715,0.4147145589196922,CTNNB1
CN_ING3,-0.05543109918168599,-0.08581637744870571,0.02573593866127301,0.06308700723919101,1125,13,CN,ING3,0.23883310363816976,0.107104925746739,CTNNB1
CN_TRIP13,0.07394514420955871,0.10116571259322543,0.0022276483065138478,0.013107493631691947,1125,27,CN,TRIP13,0.07102641858088451,0.014776109775419585,CTNNB1
CN_CDH19,0.08357060218312125,0.1490038423381383,0.0018461551666599115,0.005034237819476485,1125,24,CN,CDH19,0.03721441047964501,0.012895856739382509,CTNNB1
CN_EPN2,0.05111469787291764,0.07856122486658912,0.041274389477114974,0.08659239310653753,1125,14,CN,EPN2,0.30243478890306913,0.14661750660389355,CTNNB1
CN_ALDH3A2,0.05547018169847734,0.09066153582461586,0.06869236370425774,0.06290105769760712,1125,11,CN,ALDH3A2,0.23870144972425267,0.21688468966890978,CTNNB1
CN_SDHA,0.07667847251341563,0.10612186309962135,0.0022486814707584155,0.010087843592561204,1125,28,CN,SDHA,0.05957110630220681,0.01484055554380791,CTNNB1
CN_ZNF532,0.08604709861538132,0.1482728499776357,0.0010616025627311842,0.0038738293740925387,1125,26,CN,ZNF532,0.031851485964760874,0.008539598816760257,CTNNB1
CN_LMAN1,0.09276708727219476,0.1587007405284003,7.765313638145177e-4,0.0018409319398842727,1125,27,CN,LMAN1,0.024050332167709985,0.006810467664862141,CTNNB1
CN_FGF4,0.059219467782673445,0.04838285225033365,0.012567180552375498,0.047053738980593944,1125,26,CN,FGF4,0.19651367531930591,0.061740837236566766,CTNNB1
CN_CTTNBP2,-0.04250644218808322,-0.05837679895970882,0.04940054700772256,0.15422414931033204,1125,11,CN,CTTNBP2,0.4385216309666834,0.16880302354153973,CTNNB1
